Column1,Column2,Column3,Column4
I1,, Simptomele oboselii includ:,ac
,a," greşeli mari, un slab raţionament, decizii slabe sau indecizia",X
,b, concentrare marita,
,c," reacţii încetinite, slaba coordonare ochi-mână ",X
I2,," Dupa un consun exagerat de alcool,trebuie tinut cont de faptul ca alcoolul poate sa ramana in corp :",c
,a, cel mult 8 ore,
,b, cel mult 24 ore,
,c, cel putin 30 ore,X
I3,," Corpul uman reacţionează şi la viteza unghiulară sau la acceleraţia unghiulară atunci când vă rotiţi.Într-un viraj de 60 grade, acceleraţia gravitaţională creste si ajunge la :",a
,a, 2G,X
,b," 9,8G",
,c, 4G,
I4,, Atunci când condiţiile meteo nu sunt tocmai favorabile cel mai mult contează:,c
,a, pregătirea teoretică a pilotului,
,b, nivelul tehnic al pilotului,
,c, atitudinea pilotului,X
I5,, Absenţa oxigenului din corp (şi creier) se numeşte :,c
,a, rau de inaltime,
,b, lesin,
,c, hipoxie,X
I6,, Hipoxia apare datorita :,b
,a, deshidratarii,
,b, lipsei oxigenului,X
,c, stresului,
I7,, Inainte de zbor este obligatoriu:,a
,a,  un timp de odihna de minim 8 h,X
,b,  nu este cazul la acest tip de aeronava,
,c,  program de pregatire fizica,
I8,,Echiparea cu parasuta este obligatorie:,ab
,a,  in zborurile de antrenament,
,b,  indiferent de inaltime,
,c,"  nu este obligatorie, ramane la hotararea comandantului de aeronava",
I9,, Vârsta până la care se poate practica parapantismul este:,c
,a, 40 de ani,
,b, 45 de ani,
,c, nu există limite dacă starea de sănătate permite,X
I10,, Ce masuri sunt recomandate inaintea zborului pentru prevenirea raului de zbor ?,ab
,a," somul suficient de noapte, de minim 8 ore",X
,b, o alimentatie adecvata,X
,c, o echipare corespunzatoare,
I11,, Ce efect asupra organismului poate avea o succesiune de viraje cu inclinare mare ?,ac
,a, tulburare de vedere,X
,b, respiratie dificila pe nas,
,c, pierderea cunostintei,X
I12,, Este considerat sub influenta bauturilor alcoolice pilotul care are o imbibatie alcoolica in sange intre :,b
,a," 0,01 si 1",
,b," 0,5 si 1",X
,c, peste 1,
I13,, Este considerat in stare de ebrietate pilotul care are o imbibatie alcoolicain sange :,c
,a," mai mare de 0,5",
,b," mai mare de 0,9",
,c, mai mare de 1,X
I14,, Este important ca un elev pilot să fie odihnit înainte de a veni la cursuri de parapantism ?,b
,a," să se simtă bine, asta e important",
,b, întotdeauna este bine ca un pilot să fie odihnit înainte de decolare.,X
,c," chiar dacă nu s-a dormit o noapte, dacă este obişnuit poate face cîteva zboruri.",
I15,, Care sunt cele mai importante decizii de luat cînd se decolează pe condiţii periculoase ?,c
,a, menţinerea aripii deasupra capului şi conducerea aripi cu multă atenţie.,
,b, deschiderea paraşutei de rezerve dacă avem un incident grav.,
,c, nu se decolează niciodată în condiţii periculoase.,X
I16,, Organismul uman poate suporta condiţiile atmosferice întâlnite peste 5000 de m ?,c
,a, fară echipament adecvat nu.,
,b, doar dacă se poartă echipament cu mască de oxigen şi haine extrem de groase.,
,c, Nu este recomandat să se zboare cu parapante peste altitudini mai mari de 5000 m.,X
I17,, Ce se poate întâmpla din cauza suprasarcinilor produse la manevrele de acrobaţie ?,ac
,a, pilotul îşi poate pierde cunoştinţa.,X
,b, fara o pregătire fizică şi psihică bună nu se execută manevre de acrobaţie.,
,c, suprasolicitarea poate duce la deteriorarea ariipi daca acesta este uzată.,X
I18,, Instrutorul de parapantism trebuie să fie un pilot bun ?,a
,a, trebuie să cunoască pedagogia predării dar şi să fie un pilot care să poată demonstra cea ce predă,X
,b, există reglementări specific,
I19,, Cum este recomandat să se încarce parapanta în zbor ?,a
,a, se respectă tot timpul marjele de încărcare date de fabricant.,X
,b, în funcţie de condiţiile meteo se poate zbura şi cu aripi slab încărcate ca urcă mai bine.,
,c, numai aripile de competiţie trebuie încărcate conform standardelor.,
I20,, Dacă avem o aripa nouă de ultimă generaţie este nevoie de paraşută de rezervă ?,a
,a, da întodeauna este indicat purtarea paraşutei de rezervă.,X
,b," dacă este o aripă de şcoală, nu.",
,c, numai la zborurile tandem (în dublă comandă).,
I21,, Este riscant să folosim paraşuta de siguranţă ?,a
,a, la nevoie se utilizează întodeauna paraşuta de rezervă.,X
,b, numai dacă vrem să aterizăm întrun locul dorit,
,c, paraşuta de rezervă este doar pentru piloţii de competiţie.,
I22,," Este foarte cald, e bine să ne suprasolicităm ca să facem cit mai multe zboruri profitînd de vremea bună ?",c
,a, întodeauna se decolează pentru a profita de condiţiile meteo cît mai mult.,
,b, numai dacă se transpiră din greu se obţin rezultate foarte rapid.,
,c, întotdeauna trebuie să ne cunoaştem limitele şi să nu ne suprasolicităm înainte de decolare.,X
I23,, Care este vârsta legală de la care se poate practica parapantismul:,b
,a, 21 de ani,
,b, sub supravegherea unui instructor se poate practica de la vârsta de 16 ani.,X
